week_ending_date,total_deaths,covid_19_deaths,weekNum
2020-02-01T00:00:00.000,58784,0,1
2020-02-08T00:00:00.000,59344,1,2
2020-02-15T00:00:00.000,58760,0,3
2020-02-22T00:00:00.000,58835,5,4
2020-02-29T00:00:00.000,59250,10,5
2020-03-07T00:00:00.000,59621,35,6
2020-03-14T00:00:00.000,58604,56,7
2020-03-21T00:00:00.000,59132,573,8
2020-03-28T00:00:00.000,62922,3168,9
2020-04-04T00:00:00.000,72198,10038,10
2020-04-11T00:00:00.000,78958,16197,11
2020-04-18T00:00:00.000,76631,17087,12
2020-04-25T00:00:00.000,73763,15454,13
2020-05-02T00:00:00.000,69185,13159,14
2020-05-09T00:00:00.000,66705,11180,15
2020-05-16T00:00:00.000,64356,9174,16
2020-05-23T00:00:00.000,61494,7193,17
2020-05-30T00:00:00.000,59535,6124,18
2020-06-06T00:00:00.000,58759,5007,19
2020-06-13T00:00:00.000,57885,4204,20
2020-06-20T00:00:00.000,57806,3815,21
2020-06-27T00:00:00.000,58314,3791,22
2020-07-04T00:00:00.000,59624,4488,23
2020-07-11T00:00:00.000,61663,5727,24
2020-07-18T00:00:00.000,62887,7106,25
2020-07-25T00:00:00.000,63935,8124,26
2020-08-01T00:00:00.000,63837,8204,27
2020-08-08T00:00:00.000,63212,7764,28
2020-08-15T00:00:00.000,62921,7129,29
2020-08-22T00:00:00.000,61466,6225,30
2020-08-29T00:00:00.000,59423,5525,31
2020-09-05T00:00:00.000,57979,4724,32
2020-09-12T00:00:00.000,56846,4306,33
2020-09-19T00:00:00.000,56368,3890,34
2020-09-26T00:00:00.000,57021,3890,35
2020-10-03T00:00:00.000,55306,3707,36
2020-10-10T00:00:00.000,55979,4177,37
2020-10-17T00:00:00.000,52768,4267,38
2020-10-24T00:00:00.000,50368,4404,39
2020-10-31T00:00:00.000,40709,3217,40
2020-11-07T00:00:00.000,18937,833,41
